ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P224A_N,P224B_NOM,P224B_COD,P224B_TIPO,P224C_MES,P224C_ANIO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,P224F_MES,P224F_ANIO,OMICAP200_00
2019.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00035,00022,3,,Completa,Costa,Costa Norte,8.671945701357464,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,Transitorio,1.0,2019.0,0.0,500,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,3.0,2019.0, 
2019.0,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,00068,00037,3,,Completa,Costa,Costa Norte,12.357142857142858,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107.0,Transitorio,12.0,2018.0,1.0,500,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,2.0,2019.0, 
2019.0,20,PIURA,05,PAITA,05,LA HUACA,00088,00064,11,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,SORGO ESCOBERO,2828.0,Transitorio,11.0,2018.0,0.0,500,Pase,Pase,Fue afectada por plagas y/o enfermedades,Pase,Pase,Pase,Pase,1.0,2019.0, 
2019.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00143,00063,7,,Completa,Costa,Costa Norte,145.4396551724138,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,3.0,PLATANO,1171.0,Permanente de cosecha continua,8.0,2018.0,5.0,000,Pase,Pase,Fue afectada por plagas y/o enfermedades,Pase,Pase,Pase,Pase,10.0,2018.0, 
2019.0,20,PIURA,06,SULLANA,01,SULLANA,00229,00062,8,,Completa,Costa,Costa Norte,124.66256157635465,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,PLATANO,1171.0,Permanente de cosecha continua,9.0,2018.0,4.0,000,Pase,Fue afectada por inundaciones,Pase,Pase,Pase,Pase,Pase,11.0,2018.0, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00009,1,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,HABA,2942.0,Transitorio,6.0,2018.0,0.0,200,Pase,Pase,Fue afectada por plagas y/o enfermedades,Pase,Pase,Pase,Pase,7.0,2018.0, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00307,00020,4,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,4.0,RYE GRASS,1476.0,Permanente de cosecha continua,2.0,2019.0,0.0,500,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,3.0,2019.0, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00322,00043,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,Transitorio,12.0,2018.0,0.0,250,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,3.0,2019.0, 
2019.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00066,7,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,ARVEJA,2901.0,Transitorio,3.0,2019.0,0.0,250,Pase,Pase,Fue afectada por plagas y/o enfermedades,Pase,Pase,Pase,Pase,6.0,2019.0, 
2019.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00414,00128,12,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,Transitorio,1.0,2019.0,0.0,125,Pase,Pase,Pase,Pase,Pase,Fue afectada por sequía,Pase,6.0,2019.0, 
