ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_1_PRE_KG,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00057,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,38.0,000,SACO,19,50.0,35.0,000,180.0,00,6300.0,3.6,3.0,000,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00076,7,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,0.0,750,ARROBA,01,11.5,0.0,000,, ,,,0.0,750,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00089,8,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,000,QUINTAL,18,50.0,0.0,000,, ,,,1.0,000,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00111,11,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106.0,57.0,000,QUINTAL,18,50.0,0.0,000,, ,,,57.0,000,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00141,13,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,000,QUINTAL,18,50.0,0.0,000,, ,,,1.0,000,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00029,2,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,2.0,000,QUINTAL,18,46.0,0.0,000,, ,,,2.0,000,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00046,3,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,1.0,000,QUINTAL,18,46.0,0.0,000,, ,,,1.0,000,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00078,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108,MAIZ MOTE (PELADO),4122.0,2.0,500,QUINTAL,18,46.0,0.0,000,, ,,,2.0,500,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00078,5,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,2.0,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115.0,1.0,500,QUINTAL,18,46.0,0.0,000,, ,,,1.0,500,0.0,000, 
2019.0,20,PIURA,02,AYABACA,01,AYABACA,00291,00093,6,,Completa,Sierra,Sierra Norte,73.38035714285715,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ AMARILLO DURO,2107,MAIZ MOTE (PELADO),4122.0,2.0,000,QUINTAL,18,46.0,0.0,000,, ,,,2.0,000,0.0,000, 
