ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00006,1,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,20.0,000,SURCO,51,50.0,0.0,000,, ,,,20.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00022,2,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,20.0,000,SURCO,51,20.0,0.0,000,, ,,,20.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00077,5,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,SURCO,51,20.0,0.0,000,, ,,,200.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00120,8,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,100.0,000,SURCO,51,20.0,0.0,000,, ,,,100.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00017,2,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,12.0,000,TONELADA,22,1000.0,12.0,000,420.0,00,5040.0,0.42,0.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00053,6,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,280.0,000,TERCIO,20,30.0,0.0,000,, ,,,280.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00083,9,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,120.0,000,SACO,19,35.0,0.0,000,, ,,,120.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00029,4,,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,SURCO,51,20.0,0.0,000,, ,,,50.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00035,5,,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,200.0,000,SURCO,51,25.0,0.0,000,, ,,,200.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00064,9,,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,SURCO,51,25.0,0.0,000,, ,,,60.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00099,12,,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,950.0,000,SURCO,51,25.0,0.0,000,, ,,,950.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00113,13,,Completa,Costa,Costa Norte,9.769230769230768,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,100.0,000,SURCO,51,20.0,0.0,000,, ,,,0.0,000,100.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00056,6,,Completa,Costa,Costa Norte,10.583333333333334,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,50.0,000,CARGA,09,20.0,0.0,000,, ,,,50.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00008,1,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,120.0,000,TERCIO,20,30.0,0.0,000,, ,,,120.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00073,5,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,50.0,000,CARGA,09,30.0,0.0,000,, ,,,50.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00107,7,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,10.0,000,CARGA,09,20.0,0.0,000,, ,,,10.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00158,11,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,40.0,000,CARGA,09,25.0,25.0,000,5.0,00,125.0,0.2,15.0,000,0.0,000, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00179,12,,Completa,Costa,Costa Norte,15.428571428571429,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,120.0,000,CARGA,09,40.0,100.0,000,5.0,00,500.0,0.125,15.0,000,5.0,000, 
2019.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,00008,1,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,175.0,500,CARGA,09,60.0,0.0,000,, ,,,117.0,000,58.0,500, 
2019.0,24,TUMBES,01,TUMBES,02,CORRALES,00020,00024,4,,Completa,Costa,Costa Norte,8.05252100840336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,30.0,000,CARGA,09,30.0,0.0,000,, ,,,30.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00022,3,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,CARGA,09,15.0,60.0,000,1.0,67,100.0,0.1113,0.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,01,TUMBES,00027,00052,9,,Completa,Costa,Costa Norte,8.052521008403362,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,90.0,000,CARGA,09,30.0,90.0,000,10.0,00,900.0,0.3333,0.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,01,TUMBES,00028,00060,11,,Completa,Costa,Costa Norte,9.394607843137257,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,Pase,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,500.0,000,TERCIO,20,30.0,0.0,000,, ,,,0.0,000,500.0,000, 
2019.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,00025,3,,Completa,Costa,Costa Norte,8.671945701357464,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,CARGA,09,80.0,60.0,000,50.0,00,3000.0,0.625,0.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,00060,8,,Completa,Costa,Costa Norte,8.671945701357464,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,30.0,000,CARGA,09,40.0,15.0,000,6.0,00,90.0,0.15,15.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,00073,11,,Completa,Costa,Costa Norte,8.671945701357464,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,100.0,000,TERCIO,20,40.0,100.0,000,25.0,00,2500.0,0.625,0.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,00081,12,,Completa,Costa,Costa Norte,8.671945701357464,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,CARGA,09,80.0,0.0,000,, ,,,0.0,000,60.0,000, 
2019.0,24,TUMBES,01,TUMBES,05,SAN JACINTO,00038,00089,13,,Completa,Costa,Costa Norte,8.671945701357464,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,60.0,000,CARGA,09,40.0,45.0,000,5.0,00,225.0,0.125,15.0,000,0.0,000, 
2019.0,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00051,00064,6,,Completa,Costa,Costa Norte,8.142857142857144,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,25.0,000,CARGA,09,25.0,0.0,000,, ,,,0.0,000,25.0,000, 
2019.0,20,PIURA,05,PAITA,06,TAMARINDO,00083,00037,5,,Completa,Costa,Costa Norte,134.2519893899204,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ CHOCLO,2109.0,CHALA DE MAIZ,4105.0,8.0,000,QUINTAL,18,50.0,0.0,000,, ,,,2.0,000,6.0,000, 
2019.0,20,PIURA,05,PAITA,06,TAMARINDO,00083,00106,14,,Completa,Costa,Costa Norte,134.2519893899204,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMARILLO DURO,2107.0,CHALA DE MAIZ,4105.0,35.0,000,QUINTAL,18,50.0,35.0,000,5.0,00,175.0,0.1,0.0,000,0.0,000, 
2019.0,20,PIURA,06,SULLANA,07,QUERECOTILLO,00171,00056,8,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,150.0,000,KILO,12,1.0,150.0,000,0.0,20,30.0,0.2,0.0,000,0.0,000, 
2019.0,20,PIURA,06,SULLANA,01,SULLANA,00216,00062,9,,Completa,Costa,Costa Norte,124.66256157635468,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,MAIZ AMILACEO,2108.0,CHALA DE MAIZ,4105.0,4.0,000,QUINTAL,18,50.0,0.0,000,, ,,,4.0,000,0.0,000, 
