ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AE,OMICAP400_02
2019.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Pase,Pase,Granja porcina?,Pase,Pase,Pase,Establo lechero,1.0,0.0,0.0,080,53.0,Manual?,Pozo, 
2019.0,24,TUMBES,01,TUMBES,02,CORRALES,00010,00019,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,Otro,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Granja porcina,7.0,0.0,0.0,015,30.0,Manual?,Pozo, 
2019.0,20,PIURA,05,PAITA,04,COLAN,00110,00085,1,Granja avicola,Completa,Costa,,1.0,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,¿Agrícola?,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,16.0,0.0,4.0,180,352000.0,Manual?,Cisterna, 
2019.0,20,PIURA,05,PAITA,04,COLAN,00110,00089,2,Granja avicola,Completa,Costa,,1.0,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,18.0,0.0,4.0,700,455400.0,Manual?,Red pública, 
2019.0,20,PIURA,06,SULLANA,05,MARCAVELICA,00133,00035,1,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,2.0,3.0,0.0,250,80.0,Manual?,Red pública, 
2019.0,20,PIURA,06,SULLANA,01,SULLANA,00240,00054,4,Granja y Establo,Completa,Costa,,1.0300751879699248,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Pase,Centro de engorde vacuno?,Pase,Pase,Pase,Pase,Centro de engorde vacuno,12.0,28.0,1.0,600,800.0,Manual?,Otro, 
2019.0,20,PIURA,01,PIURA,01,PIURA,01045,00076,4,Granja avicola,Completa,Costa,,1.0,Grandes productores/as agropecuarios/as,¿Sociedad anónima?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de pollo de engorde,51.0,2.0,6.0,240,2019600.0,Automatico?,Pozo, 
2019.0,20,PIURA,01,PIURA,01,PIURA,01046,00025,5,Granja avicola,Completa,Costa,,4.267716535433071,Grandes productores/as agropecuarios/as,¿Empresa individual de responsabilidad limitada (EIRL)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,12.0,0.0,0.0,540,23400.0,Manual?,Río/riachuelo, 
2019.0,20,PIURA,01,PIURA,01,PIURA,01051,00073,6,Granja y Establo,Completa,Costa,,3.675925925925926,Grandes productores/as agropecuarios/as,¿Persona natural?,¿Agrícola?,¿Pecuaria?,Establo Lechero?,Pase,Pase,Pase,Pase,Pase,Establo lechero,2.0,2.0,0.0,060,50.0,Manual?,Pozo, 
2019.0,20,PIURA,01,PIURA,05,CATACAOS,01052,00123,1,Granja avicola,Completa,Costa,,1.0,Grandes productores/as agropecuarios/as,¿Sociedad anónima cerrada (SAC)?,Pase,¿Pecuaria?,Pase,Pase,Pase,Pase,Granja avícola?,Pase,Granja avícola de gallina de postura,14.0,0.0,1.0,500,182575.0,Manual?,Pozo, 
