ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00022,2,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,100.0,00,UNIDAD,24,0.3,80.0,00,5.0,00,400.0,16.6667,20.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00062,4,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,1.0,QUESO,4208.0,150.0,00,UNIDAD,24,0.5,130.0,00,4.0,00,520.0,8.0,20.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00077,5,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,200.0,00,UNIDAD,24,0.5,150.0,00,5.0,00,750.0,10.0,50.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00101,6,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,1.0,QUESO,4208.0,140.0,00,UNIDAD,24,0.5,120.0,00,5.0,00,600.0,10.0,20.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00186,11,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,1.0,QUESO,4208.0,80.0,00,UNIDAD,24,0.5,70.0,00,5.0,00,350.0,10.0,10.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00224,14,,Completa,Costa,Costa Norte,19.083333333333336,Pequeños y medianos productores/as agropecuarios/as,,Pase,¿Pecuaria?,1.0,QUESO,4208.0,160.0,00,UNIDAD,24,0.3,140.0,00,5.0,00,700.0,16.6667,20.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00047,5,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,420.0,00,UNIDAD,24,0.4,350.0,00,6.0,00,2100.0,15.0,60.0,00,10.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00055,7,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,120.0,00,UNIDAD,24,0.4,60.0,00,6.0,00,360.0,15.0,60.0,00,0.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00083,9,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,360.0,00,UNIDAD,24,0.4,300.0,00,5.0,00,1500.0,12.5,40.0,00,20.0,00, 
2019.0,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00088,10,,Completa,Costa,Costa Norte,8.571428571428571,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1.0,QUESO,4208.0,30.0,00,UNIDAD,24,0.4,15.0,00,6.0,00,90.0,15.0,10.0,00,5.0,00, 
